Time,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2004 Q3,1268,276,2201,891,14113,2328,1045,322,151,8436,3352,369,795,3919,1654,893,911,1138,1189,533,1808,2062,2709,1717,791,2180,544,604,1255,493,3185,599,7153,3141,217,2836,1173,1575,3559,360,1478,316,1726,7103,1179,259,2707,2769,496,1539,293
2004 Q4,1242,258,2025,874,12978,2429,994,299,138,8347,3196,384,732,3808,1693,924,959,1115,1128,563,1796,1947,2767,1734,728,2095,488,586,1141,523,3122,588,6720,2905,215,2825,1152,1558,3407,369,1405,345,1629,6930,1254,233,2587,2796,436,1571,316
2005 Q1,1688,360,2679,1136,18960,3440,1191,425,226,11513,4369,462,1172,4788,2212,1245,1241,1403,1479,679,2329,2736,3439,2385,995,2702,755,832,1439,538,3952,797,8291,3972,312,3462,1581,2173,4129,486,1947,482,2268,9274,1701,329,3668,3807,585,2062,415
2005 Q2,1526,395,2815,1054,17137,2901,1134,364,185,10229,3926,427,1070,4785,2108,1149,1113,1257,1305,725,2039,2540,3462,2459,806,2480,790,743,1412,597,3794,703,8291,3449,339,3355,1347,1917,3792,496,1679,509,1966,7861,1507,322,3305,3520,547,2083,434
2005 Q3,1333,271,2569,974,15160,2310,1066,315,179,9573,3622,371,895,3915,1785,898,979,1204,1143,575,1870,2163,2758,1873,736,2087,608,615,1256,519,3309,704,7319,3283,241,2887,1289,1802,3477,372,1598,311,1828,7263,1357,279,2880,3163,483,1661,333
2005 Q4,1354,304,2720,795,13402,2411,997,338,160,8196,3352,366,934,3677,1667,937,923,956,1283,517,1694,1967,2668,1801,853,2144,580,572,1256,483,3137,623,7068,3039,239,2628,1282,1759,3143,336,1422,331,1723,7027,1322,241,2598,3111,474,1575,308
2006 Q1,1602,325,2829,1106,17198,3094,1093,405,188,10119,4180,422,1247,4518,2118,1040,1113,1365,1513,642,2039,2418,2978,2159,1093,2552,770,769,1405,544,3746,818,8289,3788,314,3114,1478,2133,3740,460,1712,426,2161,8756,1740,298,3351,3618,540,1815,427
2006 Q2,1440,336,2591,949,15265,2665,1058,346,183,8991,3701,399,1121,4200,1823,934,953,1058,1436,636,1864,2107,2954,2018,858,2311,722,656,1195,474,3272,708,7625,3338,286,2874,1304,1889,3293,392,1567,432,1878,7836,1615,305,2897,3257,460,1911,423
2006 Q3,1323,272,2335,822,12945,2291,906,260,195,7645,3506,358,880,3586,1589,753,846,1017,1229,458,1530,1806,2381,1529,762,1954,559,515,1080,389,2814,609,6414,2825,202,2459,1163,1537,2857,325,1433,322,1731,6928,1316,213,2359,2813,386,1397,294
2006 Q4,1204,230,2266,741,11897,2228,828,276,160,7285,3218,339,740,3532,1554,798,817,949,1168,461,1495,1704,2406,1480,709,1713,470,537,1132,402,2936,585,6498,2727,196,2398,1044,1501,2848,319,1275,282,1598,6635,1321,216,2252,2643,328,1375,300
2007 Q1,1523,297,2480,979,15808,2732,975,344,174,8398,3867,385,1023,4114,1914,942,963,1160,1320,542,1784,2220,2789,1982,880,2168,652,657,1219,456,3204,696,7436,3416,264,2721,1351,1958,3442,358,1609,362,1997,8021,1703,281,2756,3394,404,1712,386
2007 Q2,1291,300,2321,877,13896,2483,978,307,162,7524,3408,355,907,4016,1635,898,880,1008,1229,587,1598,1964,2596,1812,802,1985,661,588,1147,492,2973,642,7458,2946,264,2618,1282,1732,3089,355,1434,371,1731,7401,1416,252,2573,3255,385,1485,394
2007 Q3,1169,237,1960,803,11943,2148,778,332,147,6802,3021,294,708,3395,1491,732,832,949,1126,431,1340,1607,2192,1351,699,1630,506,517,972,400,2576,552,6242,2793,207,2277,1059,1455,2746,308,1155,258,1601,6925,1172,216,2221,2608,379,1331,274
2007 Q4,1033,243,1917,722,10756,2016,824,302,128,6263,2819,307,627,3298,1467,699,758,869,966,411,1315,1547,2097,1432,612,1542,425,465,972,397,2547,499,6249,2467,197,2214,1041,1321,2811,254,1175,300,1524,6495,1144,203,2085,2483,326,1268,287
2008 Q1,1161,269,1827,765,13413,2508,849,343,163,6884,2994,310,683,3965,1621,876,913,1028,1112,439,1558,1912,2282,1563,673,1781,556,599,1066,366,2807,619,6884,2821,258,2452,1221,1604,2971,323,1272,344,1604,7445,1187,227,2369,2791,395,1384,356
2008 Q2,1076,265,1678,717,12173,2023,765,273,148,6314,2759,293,671,3706,1286,789,765,930,1009,456,1304,1732,2197,1499,635,1562,529,523,947,422,2552,552,6598,2443,283,2138,1105,1317,2686,281,1160,314,1413,6440,1042,228,2067,2460,330,1342,368
2008 Q3,941,209,1510,698,10060,1688,674,243,132,5366,2368,250,484,2848,1139,632,651,798,917,318,1016,1392,1741,1195,530,1367,389,441,816,350,2148,439,5707,2014,211,1811,1002,1128,2285,251,976,249,1249,5747,933,163,1749,2032,293,1102,260
2008 Q4,791,189,1450,595,8628,1664,670,238,129,5366,2241,244,430,2632,1107,609,662,702,933,316,1031,1283,1845,1241,516,1232,351,447,767,275,2055,391,5726,1891,182,1806,886,1038,2163,207,890,230,1116,5253,929,165,1677,1967,257,1005,226
2009 Q1,1017,237,1497,713,11311,2129,722,253,180,6363,2553,265,581,3250,1287,709,787,819,978,347,1174,1667,2039,1745,554,1465,415,515,884,358,2437,475,6383,2274,212,2021,976,1212,2419,264,1004,295,1380,6308,1009,190,2013,2127,313,1107,265
2009 Q2,862,223,1448,599,9954,1767,684,243,145,5741,2255,224,475,3099,1183,629,650,800,876,387,1204,1545,1808,1369,503,1354,378,499,782,365,2225,407,6504,2187,216,1951,863,1090,2234,284,967,275,1239,5823,948,186,1773,1971,280,1108,249
2009 Q3,852,189,1358,586,8867,1696,624,204,154,5548,2110,231,388,2709,1052,620,567,758,857,265,1028,1346,1691,1039,528,1237,290,406,778,295,2077,358,5601,1963,169,1734,826,949,2070,223,866,192,1174,5397,817,145,1599,1750,263,947,206
2009 Q4,749,156,1268,542,7708,1620,610,256,133,5192,2093,211,382,2685,1053,574,614,763,727,248,984,1312,1652,1031,462,1204,283,381,712,268,1947,329,5669,1910,167,1674,724,967,2144,215,835,215,1197,5215,838,122,1480,1767,239,1008,178
2010 Q1,980,199,1531,651,10755,2032,758,288,164,6484,2580,246,497,3365,1283,752,754,906,938,412,1161,1754,2081,1341,602,1458,389,512,848,301,2463,420,6745,2266,241,2084,979,1239,2451,298,1027,228,1426,6676,1039,179,1903,2130,295,1112,264
2010 Q2,875,221,1431,622,9527,1735,707,246,129,5998,2269,206,462,3152,1190,696,646,737,918,455,1098,1630,1841,1329,485,1455,371,492,836,302,2395,393,6618,2126,255,1859,828,1149,2350,255,927,270,1279,6190,875,192,1815,2073,305,1052,277
2010 Q3,830,177,1347,628,9572,1493,613,244,116,5413,2217,234,427,2712,1076,556,583,756,836,365,992,1321,1648,1030,505,1243,319,395,797,282,2114,362,5641,1928,207,1716,825,976,2113,235,775,231,1249,5580,799,175,1605,1833,293,955,216
2010 Q4,775,168,1328,529,7915,1454,623,226,134,5215,2051,199,363,2704,1020,552,620,698,790,325,964,1240,1701,1048,512,1290,319,382,782,263,2068,374,5750,1794,219,1697,827,929,2100,216,824,167,1092,5365,825,148,1521,1800,242,942,228
2011 Q1,905,243,1496,702,11276,1958,746,288,151,6668,2538,253,512,3266,1277,703,709,850,1015,371,1253,1694,1962,1316,539,1503,391,529,918,317,2575,470,6588,2262,319,2076,1041,1244,2446,282,968,284,1340,6913,1000,161,1964,2261,288,1148,291
2011 Q2,806,222,1282,609,10388,1611,701,267,125,5970,2177,222,447,3108,1131,621,627,720,844,396,1117,1531,1842,1156,506,1278,386,448,800,327,2272,402,6259,2042,342,1841,848,1032,2374,268,946,256,1189,6264,962,179,1738,1953,286,1059,252
2011 Q3,817,165,1331,581,9287,1417,611,263,125,5546,2038,215,435,2746,1022,537,609,748,891,281,966,1354,1605,985,482,1308,353,428,718,280,2091,344,5414,1806,297,1564,833,941,1985,189,818,209,1141,6014,940,145,1614,1760,260,907,238
