GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Firm concentration code,Meaning of Firm concentration code,Year,Number of establishments,"Revenue ($1,000)","Sales, receipts, or revenue from concentration of largest firms as percent of total sales, receipts, or revenue (%)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12
0100000US,,United States,53,Real estate and rental and leasing,001,All firms,2007,384297,485058597,100.0,84764864,21440999,2188479
0100000US,,United States,53,Real estate and rental and leasing,804,4 largest firms,2007,3106,23326868,4.8,3036092,743186,82978
0100000US,,United States,53,Real estate and rental and leasing,808,8 largest firms,2007,5633,40712559,8.4,4154449,1040568,118242
0100000US,,United States,53,Real estate and rental and leasing,820,20 largest firms,2007,24730,79178698,16.3,10588076,2772519,285913
0100000US,,United States,53,Real estate and rental and leasing,850,50 largest firms,2007,34821,126629586,26.1,15276995,4001644,393809
0100000US,,United States,531,Real estate,001,All firms,2007,316730,330437404,100.0,61347040,15739251,1528976
0100000US,,United States,531,Real estate,804,4 largest firms,2007,3990,17218535,5.2,2945704,779406,36965
0100000US,,United States,531,Real estate,808,8 largest firms,2007,5605,28774988,8.7,3590203,1038921,47216
0100000US,,United States,531,Real estate,820,20 largest firms,2007,9276,48231050,14.6,5611497,1614166,85310
0100000US,,United States,531,Real estate,850,50 largest firms,2007,11470,71246626,21.6,8071544,2373943,122144
0100000US,,United States,5311,Lessors of real estate,001,All firms,2007,121296,180650546,100.0,18952487,5149673,541676
0100000US,,United States,5311,Lessors of real estate,804,4 largest firms,2007,2164,14573119,8.1,794626,266005,16528
0100000US,,United States,5311,Lessors of real estate,808,8 largest firms,2007,2268,22899919,12.7,1185117,413971,19348
0100000US,,United States,5311,Lessors of real estate,820,20 largest firms,2007,6070,38229746,21.2,2517573,811972,43801
0100000US,,United States,5311,Lessors of real estate,850,50 largest firms,2007,7894,56676098,31.4,4294095,1397637,66889
0100000US,,United States,53111,Lessors of residential buildings and dwellings,001,All firms,2007,62876,67379228,100.0,8056948,2031767,289990
0100000US,,United States,53111,Lessors of residential buildings and dwellings,804,4 largest firms,2007,1873,7404494,11.0,620682,166955,13721
0100000US,,United States,53111,Lessors of residential buildings and dwellings,808,8 largest firms,2007,2707,10572000,15.7,1050777,317471,21754
0100000US,,United States,53111,Lessors of residential buildings and dwellings,820,20 largest firms,2007,3385,14261640,21.2,1403670,410685,29762
0100000US,,United States,53111,Lessors of residential buildings and dwellings,850,50 largest firms,2007,5490,18663953,27.7,1854031,524882,44813
0100000US,,United States,531110,Lessors of residential buildings and dwellings,001,All firms,2007,62876,67379228,100.0,8056948,2031767,289990
0100000US,,United States,531110,Lessors of residential buildings and dwellings,804,4 largest firms,2007,1873,7404494,11.0,620682,166955,13721
0100000US,,United States,531110,Lessors of residential buildings and dwellings,808,8 largest firms,2007,2707,10572000,15.7,1050777,317471,21754
0100000US,,United States,531110,Lessors of residential buildings and dwellings,820,20 largest firms,2007,3385,14261640,21.2,1403670,410685,29762
0100000US,,United States,531110,Lessors of residential buildings and dwellings,850,50 largest firms,2007,5490,18663953,27.7,1854031,524882,44813
0100000US,,United States,5311101,Lessors of apartment buildings,001,All firms,2007,48395,60966809,100.0,7122831,1804525,248837
0100000US,,United States,5311101,Lessors of apartment buildings,804,4 largest firms,2007,1873,7404494,12.1,620682,166955,13721
0100000US,,United States,5311101,Lessors of apartment buildings,808,8 largest firms,2007,2704,10565269,17.3,1050232,317320,21738
0100000US,,United States,5311101,Lessors of apartment buildings,820,20 largest firms,2007,3492,14242837,23.4,1417081,413865,30167
0100000US,,United States,5311101,Lessors of apartment buildings,850,50 largest firms,2007,5269,18356729,30.1,1832823,518737,44097
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,001,All firms,2007,14481,6412419,100.0,934117,227242,41153
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,804,4 largest firms,2007,113,459571,7.2,18424,4820,671
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,808,8 largest firms,2007,127,621373,9.7,24111,6093,795
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,820,20 largest firms,2007,217,797884,12.4,42184,10677,1417
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,850,50 largest firms,2007,294,1066740,16.6,79146,20748,2846
0100000US,,United States,53112,Lessors of nonresidential buildings (except miniwarehouses),001,All firms,2007,35021,100614721,100.0,9256636,2720492,180540
0100000US,,United States,53112,Lessors of nonresidential buildings (except miniwarehouses),804,4 largest firms,2007,1220,14401484,14.3,712469,279017,11839
0100000US,,United States,53112,Lessors of nonresidential buildings (except miniwarehouses),808,8 largest firms,2007,1456,21172679,21.0,1131149,414420,16538
