GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Type of operation or tax status code,Meaning of Type of operation or tax status code,Firm concentration code,Meaning of Firm concentration code,Year,Number of establishments,"Receipts/Revenue ($1,000)","Sales, receipts, or revenue from concentration of largest firms as percent of total sales, receipts, or revenue (%)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,001,All firms,2007,847492,1251003504,100.0,502074331,119884570,7870414
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,804,4 largest firms,2007,3067,52890516,4.2,17573118,4560232,221406
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,808,8 largest firms,2007,7086,86265201,6.9,28899321,7317026,376102
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,820,20 largest firms,2007,8779,155028542,12.4,49996536,12565632,624426
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,850,50 largest firms,2007,19898,229218067,18.3,78055554,20115173,1035307
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,001,All firms,2007,842607,1220434086,100.0,489965382,116948742,7678304
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,804,4 largest firms,2007,3067,52890516,4.3,17573118,4560232,221406
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,808,8 largest firms,2007,7086,86265201,7.1,28899321,7317026,376102
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,820,20 largest firms,2007,8779,155028542,12.7,49996536,12565632,624426
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,850,50 largest firms,2007,20312,226788470,18.6,77204598,19877805,1040861
0100000US,,United States,54,"Professional, scientific, and technical services",Y,Establishments exempt from federal income tax,001,All firms,2007,4885,30569418,100.0,12108949,2935828,192110
0100000US,,United States,54,"Professional, scientific, and technical services",Y,Establishments exempt from federal income tax,804,4 largest firms,2007,115,8154291,26.7,3753655,928418,59802
0100000US,,United States,54,"Professional, scientific, and technical services",Y,Establishments exempt from federal income tax,808,8 largest firms,2007,172,10851225,35.5,5112981,1249761,73987
0100000US,,United States,54,"Professional, scientific, and technical services",Y,Establishments exempt from federal income tax,820,20 largest firms,2007,359,15393137,50.4,6471503,1585307,94453
0100000US,,United States,54,"Professional, scientific, and technical services",Y,Establishments exempt from federal income tax,850,50 largest firms,2007,662,19689644,64.4,8055433,1966038,118553
0100000US,,United States,541,"Professional, scientific, and technical services",A,All establishments,001,All firms,2007,847492,1251003504,100.0,502074331,119884570,7870414
0100000US,,United States,541,"Professional, scientific, and technical services",A,All establishments,804,4 largest firms,2007,3067,52890516,4.2,17573118,4560232,221406
