GEO.id,Geographic identifier code
GEO.id2,Id2
GEO.display-label,Geographic area name
NAICS.id,2007 NAICS code
NAICS.display-label,Meaning of 2007 NAICS code
OPTAX.id,Type of operation or tax status code
OPTAX.display-label,Meaning of Type of operation or tax status code
CONCENFI.id,Firm concentration code
CONCENFI.display-label,Meaning of Firm concentration code
YEAR.id,Year
ESTAB,Number of establishments
RCPTOT,"Receipts/Revenue ($1,000)"
VAL_PCT,"Sales, receipts, or revenue from concentration of largest firms as percent of total sales, receipts, or revenue (%)"
PAYANN,"Annual payroll ($1,000)"
PAYQTR1,"First-quarter payroll ($1,000)"
EMP,Number of paid employees for pay period including March 12
