GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,81,Other services (except public administration),A,All establishments,001,All firms,2007,540148,405284048,100.0,99123269,24131339,3479011
0100000US,,United States,81,Other services (except public administration),A,All establishments,804,4 largest firms,2007,2292,9144521,2.3,1874097,481714,48742
0100000US,,United States,81,Other services (except public administration),A,All establishments,808,8 largest firms,2007,9902,16210812,4.0,4038974,1053055,122201
0100000US,,United States,81,Other services (except public administration),A,All establishments,820,20 largest firms,2007,15417,28454966,7.0,5804477,1492574,170845
0100000US,,United States,81,Other services (except public administration),A,All establishments,850,50 largest firms,2007,20774,45694002,11.3,8563096,2161167,258919
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,001,All firms,2007,432302,219837537,100.0,66828875,16252883,2598622
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,804,4 largest firms,2007,9427,8851322,4.0,2549012,684226,93077
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,808,8 largest firms,2007,14584,14678321,6.7,4118184,1081640,144698
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,820,20 largest firms,2007,19458,21971660,10.0,6209962,1585587,215968
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,850,50 largest firms,2007,22982,30374907,13.8,8430765,2134854,283783
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,001,All firms,2007,107846,185446511,100.0,32294394,7878456,880389
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,804,4 largest firms,2007,242,6339948,3.4,645231,150825,11404
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,808,8 largest firms,2007,753,10320437,5.6,1459405,362806,23107
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,820,20 largest firms,2007,887,19003163,10.2,1972366,479756,30446
0100000US,,United States,81,Other services (except public administration),Y,Establishments exempt from federal income tax,850,50 largest firms,2007,1134,30885433,16.7,2791674,687667,45528
0100000US,,United States,811,Repair and maintenance,A,All establishments,001,All firms,2007,222151,137732616,100.0,40069913,9748995,1261083
0100000US,,United States,811,Repair and maintenance,A,All establishments,804,4 largest firms,2007,1426,5409322,3.9,1261764,329864,24271
0100000US,,United States,811,Repair and maintenance,A,All establishments,808,8 largest firms,2007,1542,7191821,5.2,1796954,455108,32199
0100000US,,United States,811,Repair and maintenance,A,All establishments,820,20 largest firms,2007,2936,10703894,7.8,2631740,665569,52272
0100000US,,United States,811,Repair and maintenance,A,All establishments,850,50 largest firms,2007,4521,15461943,11.2,4134226,1028324,88459
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,001,All firms,2007,222151,137732616,100.0,40069913,9748995,1261083
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,804,4 largest firms,2007,1426,5409322,3.9,1261764,329864,24271
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,808,8 largest firms,2007,1542,7191821,5.2,1796954,455108,32199
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,820,20 largest firms,2007,2936,10703894,7.8,2631740,665569,52272
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,850,50 largest firms,2007,4521,15461943,11.2,4134226,1028324,88459
0100000US,,United States,8111,Automotive repair and maintenance,A,All establishments,001,All firms,2007,165552,85887165,100.0,24617678,6005848,877395
0100000US,,United States,8111,Automotive repair and maintenance,A,All establishments,804,4 largest firms,2007,2029,1474721,1.7,424470,102650,13574
0100000US,,United States,8111,Automotive repair and maintenance,A,All establishments,808,8 largest firms,2007,2452,2199973,2.6,694948,169262,21191
0100000US,,United States,8111,Automotive repair and maintenance,A,All establishments,820,20 largest firms,2007,3743,3728691,4.3,1097968,269216,38144
0100000US,,United States,8111,Automotive repair and maintenance,A,All establishments,850,50 largest firms,2007,4785,5484761,6.4,1564102,384515,52918
0100000US,,United States,8111,Automotive repair and maintenance,T,Establishments subject to federal income tax,001,All firms,2007,165552,85887165,100.0,24617678,6005848,877395
0100000US,,United States,8111,Automotive repair and maintenance,T,Establishments subject to federal income tax,804,4 largest firms,2007,2029,1474721,1.7,424470,102650,13574
0100000US,,United States,8111,Automotive repair and maintenance,T,Establishments subject to federal income tax,808,8 largest firms,2007,2452,2199973,2.6,694948,169262,21191
0100000US,,United States,8111,Automotive repair and maintenance,T,Establishments subject to federal income tax,820,20 largest firms,2007,3743,3728691,4.3,1097968,269216,38144
0100000US,,United States,8111,Automotive repair and maintenance,T,Establishments subject to federal income tax,850,50 largest firms,2007,4785,5484761,6.4,1564102,384515,52918
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,A,All establishments,001,All firms,2007,95713,43556114,100.0,11843792,2894693,394563
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,A,All establishments,804,4 largest firms,2007,764,689035,1.6,173045,43672,4652
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,A,All establishments,808,8 largest firms,2007,903,959841,2.2,240889,60617,6568
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,A,All establishments,820,20 largest firms,2007,1230,1476994,3.4,373592,92727,10041
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,A,All establishments,850,50 largest firms,2007,1577,2148226,4.9,516496,126975,14220
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,001,All firms,2007,95713,43556114,100.0,11843792,2894693,394563
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,804,4 largest firms,2007,764,689035,1.6,173045,43672,4652
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,808,8 largest firms,2007,903,959841,2.2,240889,60617,6568
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,820,20 largest firms,2007,1230,1476994,3.4,373592,92727,10041
0100000US,,United States,81111,Automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,850,50 largest firms,2007,1577,2148226,4.9,516496,126975,14220
0100000US,,United States,811111,General automotive repair,A,All establishments,001,All firms,2007,81659,37722241,100.0,10203541,2485543,338870
0100000US,,United States,811111,General automotive repair,A,All establishments,804,4 largest firms,2007,621,675757,1.8,172826,43666,4629
0100000US,,United States,811111,General automotive repair,A,All establishments,808,8 largest firms,2007,742,917731,2.4,210686,52388,5521
0100000US,,United States,811111,General automotive repair,A,All establishments,820,20 largest firms,2007,1036,1333861,3.5,338175,83926,9078
0100000US,,United States,811111,General automotive repair,A,All establishments,850,50 largest firms,2007,1311,1935803,5.1,463581,114010,12630
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,001,All firms,2007,81659,37722241,100.0,10203541,2485543,338870
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,804,4 largest firms,2007,621,675757,1.8,172826,43666,4629
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,808,8 largest firms,2007,742,917731,2.4,210686,52388,5521
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,820,20 largest firms,2007,1036,1333861,3.5,338175,83926,9078
0100000US,,United States,811111,General automotive repair,T,Establishments subject to federal income tax,850,50 largest firms,2007,1311,1935803,5.1,463581,114010,12630
0100000US,,United States,811112,Automotive exhaust system repair,A,All establishments,001,All firms,2007,2756,858432,100.0,225389,56340,9002
0100000US,,United States,811112,Automotive exhaust system repair,A,All establishments,804,4 largest firms,2007,71,40952,4.8,11349,2630,353
0100000US,,United States,811112,Automotive exhaust system repair,A,All establishments,808,8 largest firms,2007,76,54821,6.4,14999,3717,484
