GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,,22,Utilities,,001,All firms,2012,17595,531890695,100.0,58922951,17463405,651234
0100000US,,United States,,22,Utilities,,804,4 largest firms,2012,1470,79933864,15.0,11574104,3711551,105245
0100000US,,United States,,22,Utilities,,808,8 largest firms,2012,2886,136793958,25.7,18669767,5985254,177097
0100000US,,United States,,22,Utilities,,820,20 largest firms,2012,5369,255175727,48.0,32802455,10036451,324210
0100000US,,United States,,22,Utilities,,850,50 largest firms,2012,7859,367652367,69.1,43673476,13278900,445988
0100000US,,United States,,221,Utilities,,001,All firms,2012,17595,531890695,100.0,58922951,17463405,651234
0100000US,,United States,,221,Utilities,,804,4 largest firms,2012,1470,79933864,15.0,11574104,3711551,105245
0100000US,,United States,,221,Utilities,,808,8 largest firms,2012,2886,136793958,25.7,18669767,5985254,177097
0100000US,,United States,,221,Utilities,,820,20 largest firms,2012,5369,255175727,48.0,32802455,10036451,324210
0100000US,,United States,,221,Utilities,,850,50 largest firms,2012,7859,367652367,69.1,43673476,13278900,445988
0100000US,,United States,,2211,"Electric power generation, transmission and distribution",,001,All firms,2012,10330,430079295,100.0,49936923,14965072,522010
0100000US,,United States,,2211,"Electric power generation, transmission and distribution",,804,4 largest firms,2012,1467,78836064,18.3,11496116,3686644,104431
0100000US,,United States,,2211,"Electric power generation, transmission and distribution",,808,8 largest firms,2012,2883,135696158,31.6,18591779,5960347,176283
0100000US,,United States,,2211,"Electric power generation, transmission and distribution",,820,20 largest firms,2012,5174,241715001,56.2,31311862,9639118,306352
0100000US,,United States,,2211,"Electric power generation, transmission and distribution",,850,50 largest firms,2012,6490,324634003,75.5,39973082,12245054,398013
0100000US,,United States,,22111,Electric power generation,,001,All firms,2012,2678,120025497,100.0,14847230,4447480,146701
0100000US,,United States,,22111,Electric power generation,,804,4 largest firms,2012,297,26720846,22.3,3114666,980036,26621
0100000US,,United States,,22111,Electric power generation,,808,8 largest firms,2012,616,43940531,36.6,5873028,1812275,54317
0100000US,,United States,,22111,Electric power generation,,820,20 largest firms,2012,1010,72546525,60.4,9681869,2991910,91289
0100000US,,United States,,22111,Electric power generation,,850,50 largest firms,2012,1506,100000460,83.3,11986781,3654004,114964
0100000US,,United States,,221111,Hydroelectric power generation,,001,All firms,2012,405,2452297,100.0,274179,75946,3464
0100000US,,United States,,221111,Hydroelectric power generation,,804,4 largest firms,2012,64,886584,36.2,93103,28431,1015
0100000US,,United States,,221111,Hydroelectric power generation,,808,8 largest firms,2012,136,1388072,56.6,131104,37465,1492
0100000US,,United States,,221111,Hydroelectric power generation,,820,20 largest firms,2012,231,2106272,85.9,220174,62269,2557
0100000US,,United States,,221111,Hydroelectric power generation,,850,50 largest firms,2012,293,2414999,98.5,264832,73870,3232
0100000US,,United States,,221112,Fossil fuel electric power generation,,001,All firms,2012,1416,81473633,100.0,7997908,2350526,82071
0100000US,,United States,,221112,Fossil fuel electric power generation,,804,4 largest firms,2012,328,16697610,20.5,1646323,525452,15760
0100000US,,United States,,221112,Fossil fuel electric power generation,,808,8 largest firms,2012,418,25975568,31.9,2274721,701907,22266
0100000US,,United States,,221112,Fossil fuel electric power generation,,820,20 largest firms,2012,642,44005090,54.0,4363747,1340289,42360
0100000US,,United States,,221112,Fossil fuel electric power generation,,850,50 largest firms,2012,988,67674402,83.1,6293920,1877425,63041
