GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,CONCENFI.id,CONCENFI.display-label,YEAR.id,COMPANY,RCPTOT,CCORCPPCT,VSHERFI
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Firm concentration code,Meaning of Firm concentration code,Year,Number of companies,"Total value of shipments and receipts for services ($1,000)",Percent of total value of shipments and receipts for services (%),Percent of value of shipments by the Herfindahl-Hirschman index for 50 largest companies (%)
0100000US,,United States,,311,Food manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311,Food manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311,Food manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311,Food manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311,Food manufacturing,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,3111,Animal food manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,3111,Animal food manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,3111,Animal food manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,3111,Animal food manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,3111,Animal food manufacturing,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,31111,Animal food manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,31111,Animal food manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31111,Animal food manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31111,Animal food manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31111,Animal food manufacturing,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,311111,Dog and cat food manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311111,Dog and cat food manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311111,Dog and cat food manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311111,Dog and cat food manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311111,Dog and cat food manufacturing,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,311119,Other animal food manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311119,Other animal food manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311119,Other animal food manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311119,Other animal food manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311119,Other animal food manufacturing,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,3112,Grain and oilseed milling,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,3112,Grain and oilseed milling,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,3112,Grain and oilseed milling,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,3112,Grain and oilseed milling,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,3112,Grain and oilseed milling,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,31121,Flour milling and malt manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,31121,Flour milling and malt manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31121,Flour milling and malt manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31121,Flour milling and malt manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31121,Flour milling and malt manufacturing,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,311211,Flour milling,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311211,Flour milling,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311211,Flour milling,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311211,Flour milling,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311211,Flour milling,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,311212,Rice milling,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311212,Rice milling,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311212,Rice milling,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311212,Rice milling,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311212,Rice milling,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,311213,Malt manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311213,Malt manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311213,Malt manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311213,Malt manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311213,Malt manufacturing,,859,50 largest companies,2012,ECONF$X,ECONF$X,ECONF$X,ECONF$X
0100000US,,United States,,31122,Starch and vegetable fats and oils manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,31122,Starch and vegetable fats and oils manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31122,Starch and vegetable fats and oils manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31122,Starch and vegetable fats and oils manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31122,Starch and vegetable fats and oils manufacturing,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,311221,Wet corn milling,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311221,Wet corn milling,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311221,Wet corn milling,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311221,Wet corn milling,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311221,Wet corn milling,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,311224,Soybean and other oilseed processing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311224,Soybean and other oilseed processing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311224,Soybean and other oilseed processing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311224,Soybean and other oilseed processing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311224,Soybean and other oilseed processing,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,311225,Fats and oils refining and blending,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311225,Fats and oils refining and blending,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311225,Fats and oils refining and blending,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311225,Fats and oils refining and blending,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311225,Fats and oils refining and blending,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,31123,Breakfast cereal manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,31123,Breakfast cereal manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31123,Breakfast cereal manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31123,Breakfast cereal manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,31123,Breakfast cereal manufacturing,,859,50 largest companies,2012,ECONF$X,ECONF$X,,
0100000US,,United States,,311230,Breakfast cereal manufacturing,,004,All companies,2012,,,,ECONF$X
0100000US,,United States,,311230,Breakfast cereal manufacturing,,856,4 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311230,Breakfast cereal manufacturing,,857,8 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
0100000US,,United States,,311230,Breakfast cereal manufacturing,,858,20 largest companies,2012,ECONF$X,ECONF$X,,ECONF$X
