GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,001,All firms,2012,419464,7899978591,100.0,362121460,90683201,5881913
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,804,4 largest firms,2012,204,440138342,5.6,1176965,446110,14413
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,808,8 largest firms,2012,1004,785362574,9.9,2535359,850315,34995
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,820,20 largest firms,2012,1855,1428650195,18.1,7239456,2009469,112844
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,850,50 largest firms,2012,5133,2183052010,27.6,26883944,7087989,386939
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,001,All firms,2012,245362,3152140174,100.0,216773832,53868316,3355006
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,804,4 largest firms,2012,131,277917329,8.8,1445921,329326,15476
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,808,8 largest firms,2012,309,436016240,13.8,4602900,1120758,39653
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,820,20 largest firms,2012,1230,654568613,20.8,14233717,3406100,112525
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,850,50 largest firms,2012,5577,936100598,29.7,26768738,6757488,245156
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,001,All firms,2012,25318,720966602,100.0,18485339,4516466,371874
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,131,277917329,38.5,1445921,329326,15476
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,171,379424079,52.6,1923187,435065,20536
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2012,595,487255901,67.6,3153497,786931,36270
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2012,1833,546364136,75.8,5373119,1329427,74576
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,001,All firms,2012,6644,531361828,100.0,7067181,1711492,117943
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,59,251962871,47.4,880788,186029,7687
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,77,348324869,65.6,1243064,263507,10885
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2012,191,444903329,83.7,2012072,488223,17305
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2012,458,471644248,88.8,3012414,741744,32666
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,001,All firms,2012,6644,531361828,100.0,7067181,1711492,117943
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,59,251962871,47.4,880788,186029,7687
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,77,348324869,65.6,1243064,263507,10885
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2012,191,444903329,83.7,2012072,488223,17305
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2012,458,471644248,88.8,3012414,741744,32666
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,001,All firms,2012,3507,449665577,100.0,2717098,623071,40601
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,59,251962871,56.0,880788,186029,7687
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,76,348228109,77.4,1242610,263392,10880
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2012,132,425675274,94.7,1653775,367873,15051
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2012,170,433538117,96.4,1854700,417583,18108
0100000US,,United States,4231102,Bus and recreational vehicle merchant wholesalers,00,Wholesale Trade,001,All firms,2012,257,6419541,100.0,301054,67872,6415
0100000US,,United States,4231102,Bus and recreational vehicle merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,16,3269155,50.9,68178,14385,1631
