GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,61,Educational services,A,All establishments,001,All firms,2012,67960,53360305,100.0,17283363,4239975,642334
0100000US,,United States,61,Educational services,A,All establishments,804,4 largest firms,2012,433,3752972,7.0,1010099,275072,17514
0100000US,,United States,61,Educational services,A,All establishments,808,8 largest firms,2012,752,5625079,10.5,1572476,416120,34241
0100000US,,United States,61,Educational services,A,All establishments,820,20 largest firms,2012,1194,8466305,15.9,2340009,600767,48343
0100000US,,United States,61,Educational services,A,All establishments,850,50 largest firms,2012,1842,12106186,22.7,3368229,859275,74728
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,001,All firms,2012,55922,39480166,100.0,12885576,3157612,493861
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,804,4 largest firms,2012,709,2728528,6.9,847449,227287,21537
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,808,8 largest firms,2012,837,3943003,10.0,1161050,307087,28048
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,820,20 largest firms,2012,1248,6306470,16.0,1960441,502814,42675
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,850,50 largest firms,2012,1832,9388208,23.8,2779208,706638,65081
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,001,All firms,2012,12038,13880139,100.0,4397787,1082363,148473
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,804,4 largest firms,2012,42,2539820,18.3,592349,152483,10966
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,808,8 largest firms,2012,99,3177891,22.9,723110,185595,12933
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,820,20 largest firms,2012,136,4118279,29.7,926704,234368,16280
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,850,50 largest firms,2012,210,5265767,37.9,1322210,330015,26325
0100000US,,United States,611,Educational services,A,All establishments,001,All firms,2012,67960,53360305,100.0,17283363,4239975,642334
0100000US,,United States,611,Educational services,A,All establishments,804,4 largest firms,2012,433,3752972,7.0,1010099,275072,17514
